RecipeName,Calories,Protein,Fat,Carbohydrates,RecipeIngredientParts,Tags
Recipe_75,410.4,21.5,17.8,48.9,"corn, onion, pepper, cucumber, rice",gluten-free
Recipe_76,405.1,38.9,13.5,51.4,"garlic, pepper, oats, pasta, cheese, almond, walnut","paleo, vegetarian"
Recipe_77,266.7,13.3,16.8,39.7,"pepper, beef, carrot, zucchini, egg, milk, cheese","vegetarian, high-protein, keto"
Recipe_78,391.1,18.8,12.1,52.2,"milk, beef, spinach, chicken, pasta",gluten-free
Recipe_79,587.5,21.1,16.9,55.4,"walnut, lettuce, mushroom",keto
Recipe_80,635.5,18.9,22.4,31.2,"tofu, peas, cucumber, beef, oats, onion","low-carb, vegan, keto"
Recipe_81,325.0,17.2,19.4,48.0,"rice, spinach, chicken, zucchini, corn, lettuce","vegetarian, low-carb, vegan"
Recipe_82,276.8,20.8,23.1,31.1,"tomato, lettuce, cucumber, spinach, garlic","low-carb, paleo, vegetarian"
Recipe_83,406.9,25.9,8.6,54.7,"egg, garlic, oats, cheese, tomato, rice, orange","vegetarian, paleo"
Recipe_84,527.3,15.3,15.7,39.7,"lettuce, spinach, garlic, egg, peas, beef, pasta",paleo
Recipe_85,479.8,19.0,5.6,45.8,"cucumber, peas, garlic, pasta, tomato","vegetarian, paleo"
Recipe_86,601.2,27.4,7.0,70.0,"lettuce, orange, almond, peas, egg","vegan, vegetarian"
Recipe_87,534.7,20.5,8.3,38.9,"walnut, orange, chicken, pasta, peas, carrot",gluten-free
Recipe_88,507.5,11.7,13.1,46.6,"rice, zucchini, chicken, pepper, corn",keto
Recipe_89,546.3,28.6,9.0,37.0,"peas, zucchini, garlic, walnut","high-protein, gluten-free, paleo"
Recipe_90,644.6,20.7,5.2,69.2,"pasta, lettuce, beef, garlic, oats","high-protein, gluten-free"
Recipe_91,460.0,28.5,6.9,69.7,"almond, corn, peas","vegan, low-carb, keto"
Recipe_92,374.9,19.0,12.1,66.4,"lettuce, almond, mushroom, chicken, rice",keto
Recipe_93,672.9,10.1,8.5,51.1,"cucumber, tomato, orange, egg, carrot, milk, tofu","vegan, low-carb, paleo"
Recipe_94,694.4,30.1,20.9,48.2,"tomato, chicken, oats, garlic, cucumber, spinach, egg","gluten-free, keto, vegetarian"
Recipe_95,512.5,39.0,10.4,50.6,"egg, lettuce, pepper, orange","dairy-free, vegetarian, low-carb"
Recipe_96,356.7,27.0,18.4,47.3,"carrot, cucumber, mushroom, beef, almond, egg, spinach",dairy-free
Recipe_97,265.2,16.7,7.0,58.4,"pepper, orange, corn",gluten-free
Recipe_98,601.4,20.9,11.2,47.5,"cucumber, corn, walnut, orange",vegetarian
Recipe_99,262.2,36.7,11.8,58.9,"chicken, corn, milk, cucumber",keto
Recipe_100,528.0,13.2,23.3,48.5,"mushroom, egg, walnut","vegan, high-protein"

